Loading environment ...
Environment loaded.
Found start_training.txt
🧠 Loaded mixed-energy dataset with 10 samples:
   Energies found: [5.0, 10.0]
↩️  Resumed from /lustre/work/samumcki/dSiPM_NN/NNTraining/4000x4000_model/NN_model_4000x4000/last.ckpt (epoch=10050, best_val=0.000000)
Epoch 10051/10100 | Train 0.049579 | Val 0.068109
Epoch 10052/10100 | Train 0.047134 | Val 0.041563
Epoch 10053/10100 | Train 0.043629 | Val 0.049053
Epoch 10054/10100 | Train 0.039603 | Val 0.104664
Epoch 10055/10100 | Train 0.035358 | Val 0.216693
Epoch 10056/10100 | Train 0.030885 | Val 0.395981
Epoch 10057/10100 | Train 0.026217 | Val 0.644911
Epoch 10058/10100 | Train 0.021825 | Val 0.960488
Epoch 10059/10100 | Train 0.018007 | Val 1.336869
Epoch 10060/10100 | Train 0.014949 | Val 1.752536
Epoch 10061/10100 | Train 0.013109 | Val 2.158880
Epoch 10062/10100 | Train 0.012107 | Val 2.518967
Epoch 10063/10100 | Train 0.011914 | Val 2.765312
Epoch 10064/10100 | Train 0.011826 | Val 2.886350
Epoch 10065/10100 | Train 0.011575 | Val 2.896771
Epoch 10066/10100 | Train 0.010866 | Val 2.801092
Epoch 10067/10100 | Train 0.009694 | Val 2.644429
Epoch 10068/10100 | Train 0.008393 | Val 2.461018
Epoch 10069/10100 | Train 0.007045 | Val 2.263520
Epoch 10070/10100 | Train 0.005935 | Val 2.076540
Epoch 10071/10100 | Train 0.005073 | Val 1.909414
Epoch 10072/10100 | Train 0.004517 | Val 1.764564
Epoch 10073/10100 | Train 0.004169 | Val 1.649852
Epoch 10074/10100 | Train 0.003978 | Val 1.564986
Epoch 10075/10100 | Train 0.003850 | Val 1.500984
Epoch 10076/10100 | Train 0.003720 | Val 1.460620
Epoch 10077/10100 | Train 0.003617 | Val 1.438980
Epoch 10078/10100 | Train 0.003371 | Val 1.427729
Epoch 10079/10100 | Train 0.003110 | Val 1.425580
Epoch 10080/10100 | Train 0.002782 | Val 1.430835
Epoch 10081/10100 | Train 0.002490 | Val 1.427121
Epoch 10082/10100 | Train 0.002242 | Val 1.425095
Epoch 10083/10100 | Train 0.002021 | Val 1.411285
Epoch 10084/10100 | Train 0.001891 | Val 1.388720
